
Standard & Poors 500 Index,Last: 3990.5601,Change:  56.1801
"Date: December 12, 2022 at 6:01 PM EST",Bid: 3962.01,Ask: 4016.6299,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Dec 12 2022,SPXW221212C03980000,9,4.65,9,11,58962,0,0,0,1393,3980.00,SPXW221212P03980000,0.05,-41.25,0,0.05,15701,0,0,0,996
Mon Dec 12 2022,SPXW221212C03985000,4.55,1.05,4.5,6.1,40705,0,0,0,620,3985.00,SPXW221212P03985000,0.05,-45.4,0,0.05,6074,0,0,0,304
Mon Dec 12 2022,SPXW221212C03990000,0.25,-2.6,0.1,0.25,39535,0,0,0,1725,3990.00,SPXW221212P03990000,0.7,-49,0.45,0.8,2734,0,0,0,645
Mon Dec 12 2022,SPXW221212C03995000,0.05,-2.2,0,0.05,20811,0,0,0,1406,3995.00,SPXW221212P03995000,5.95,-48.25,4.2,6.2,772,0,0,0,292
Mon Dec 12 2022,SPXW221212C04000000,0.05,-1.75,0,0.05,24305,0,0,0,4905,4000.00,SPXW221212P04000000,9.97,-48.78,8.2,11.8,1980,0,0,0,3697
Mon Dec 12 2022,SPXW221212C04005000,0.05,-1.4,0,0.05,9133,0,0,0,1198,4005.00,SPXW221212P04005000,22.76,-40.59,13.4,18.2,169,0,0,0,184
Tue Dec 13 2022,SPXW221213C03980000,50.6,21.75,50.4,51,1263,0.5917,0.5239,0.0033,312,3980.00,SPXW221213P03980000,45.04,-20.05,44.7,45.4,688,0.5921,-0.4757,0.0033,105
Tue Dec 13 2022,SPXW221213C03985000,48.17,20.43,47.8,48.4,1408,0.5907,0.5075,0.0033,129,3985.00,SPXW221213P03985000,47.4,-20.55,47.1,47.8,710,0.5918,-0.4921,0.0033,57
Tue Dec 13 2022,SPXW221213C03990000,45.59,20.06,45.3,45.9,2234,0.5899,0.491,0.0033,3160,3990.00,SPXW221213P03990000,49.85,-20.75,49.6,50.2,720,0.5916,-0.5086,0.0033,290
Tue Dec 13 2022,SPXW221213C03995000,42.68,19.45,42.9,43.4,1022,0.5893,0.4745,0.0033,237,3995.00,SPXW221213P03995000,52.36,-22.29,52.2,52.8,201,0.591,-0.5251,0.0033,43
Tue Dec 13 2022,SPXW221213C04000000,41,19.05,40.5,41,5505,0.589,0.458,0.0033,2029,4000.00,SPXW221213P04000000,55,-22.05,54.8,55.4,637,0.5894,-0.5416,0.0033,194
Tue Dec 13 2022,SPXW221213C04005000,38.6,18.75,38.2,38.8,553,0.5876,0.4415,0.0033,81,4005.00,SPXW221213P04005000,57.7,-23.6,57.5,58.2,119,0.5874,-0.5581,0.0033,50
Wed Dec 14 2022,SPXW221214C03980000,62.88,23.9,62.9,63.6,442,0.5214,0.5215,0.0026,189,3980.00,SPXW221214P03980000,57.53,-18.02,57.4,58,163,0.5206,-0.4781,0.0026,261
Wed Dec 14 2022,SPXW221214C03985000,60,22.85,60.4,61,199,0.5201,0.5084,0.0026,100,3985.00,SPXW221214P03985000,59.98,-18.47,59.8,60.4,131,0.5206,-0.4912,0.0026,49
