size,Percentile,value,name
21116837.0,0.8439716312056738,0.53,None.AAPL
29998330.0,0.9361702127659575,0.57,None.AI
10418646.0,0.5957446808510638,0.58,None.AMC
26841327.0,0.9148936170212766,0.46,None.AMD
18006418.0,0.8014184397163121,0.49,None.AMZN
23707807.0,0.8723404255319149,0.57,None.AULT
11452503.0,0.6382978723404256,0.33,None.BABA
17192547.0,0.7943262411347518,0.41,None.BAC
24785212.0,0.8865248226950354,0.57,None.BBAI
114511119.0,0.9929078014184397,0.51,None.BBBY
8850264.0,0.5319148936170213,0.57,None.BIL
45378092.0,0.950354609929078,0.5,None.BOIL
20621237.0,0.8368794326241135,0.54,None.BRDS
22484297.0,0.8581560283687943,0.58,None.CANO
13279288.0,0.7163120567375887,0.41,None.CCL
8704018.0,0.5177304964539007,0.45,None.ETRN
26050338.0,0.9078014184397163,0.47,None.F
45719548.0,0.9574468085106383,0.55,None.FFIE
13786688.0,0.723404255319149,0.55,None.FRC
23677468.0,0.8652482269503546,0.54,None.GFAI
12342292.0,0.6879432624113475,0.68,None.GOEV
14507614.0,0.7659574468085106,0.6,None.HYG
28018540.0,0.9219858156028369,0.55,None.IMPP
10984969.0,0.6170212765957447,0.57,None.INDO
20036830.0,0.8297872340425532,0.36,None.INTC
8825463.0,0.524822695035461,0.72,None.ITUB
10135091.0,0.574468085106383,0.59,None.KWEB
24934837.0,0.8936170212765957,0.46,None.LABU
8272683.0,0.5106382978723404,0.64,None.LUMN
9043853.0,0.5390070921985816,0.61,None.M
12905741.0,0.7021276595744681,0.33,None.MARA
16992838.0,0.7872340425531915,0.56,None.MMAT
9817780.0,0.5673758865248227,0.33,None.MSFT
8235581.0,0.5035460992907801,0.5,None.MU
312528153.0,1.0,0.55,None.MULN
25967513.0,0.900709219858156,0.48,None.NIO
14108407.0,0.7446808510638298,0.55,None.NKLA
10467607.0,0.6028368794326241,0.49,None.NU
21352941.0,0.851063829787234,0.5,None.NVDA
9787433.0,0.5602836879432624,0.43,None.OPEN
11190046.0,0.6312056737588653,0.44,None.OXY
12786427.0,0.6950354609929078,0.08,None.PDBC
11144695.0,0.624113475177305,0.46,None.PLTR
9683007.0,0.5531914893617021,0.47,None.PSQ
14093964.0,0.7375886524822695,0.59,None.QQQ
13163785.0,0.7092198581560284,0.5,None.RIG
11918555.0,0.6737588652482269,0.64,None.RIVN
9576742.0,0.5460992907801419,0.46,None.RLX
11862359.0,0.6666666666666666,0.37,None.SCHW
18306131.0,0.8085106382978723,0.25,None.SH
16137727.0,0.7730496453900709,0.48,None.SOFI
31182028.0,0.9432624113475178,0.55,None.SOUN
28052331.0,0.9290780141843972,0.54,None.SOXL
19672983.0,0.8226950354609929,0.35,None.SOXS
11597282.0,0.6453900709219859,0.54,None.SPXS
11701755.0,0.6524822695035462,0.59,None.SPXU
16967434.0,0.7801418439716312,0.65,None.SPY
60634392.0,0.9645390070921985,0.43,None.SQQQ
10739221.0,0.6099290780141844,0.5,None.T
70493719.0,0.9787234042553191,0.44,None.TQQQ
24100817.0,0.8794326241134752,0.5,None.TRKA
101496456.0,0.9858156028368794,0.55,None.TSLA
11763660.0,0.6595744680851063,0.5,None.TYDE
13979925.0,0.7304964539007093,0.51,None.UNG
10167403.0,0.5815602836879432,0.57,None.USEG
19503001.0,0.8156028368794326,0.68,None.UVXY
14276284.0,0.7588652482269503,0.54,None.VORB
12269548.0,0.6808510638297872,0.56,None.WISH
64296583.0,0.9716312056737588,0.56,None.XELA
14117867.0,0.75177304964539,0.62,None.XLF
10214167.0,0.5886524822695035,0.55,None.XOM
