Symbol,Name,% Holding,Fund
AAPL,Apple Inc.,6.51%,SPX
MSFT,Microsoft Corporation,5.80%,SPX
AMZN,Amazon.com Inc.,2.83%,SPX
GOOGL,Alphabet Inc. Class A,2.03%,SPX
GOOG,Alphabet Inc. Class C,1.89%,SPX
TSLA,Tesla Inc,1.76%,SPX
BRK.B,Berkshire Hathaway Inc. Class B,1.61%,SPX
JNJ,Johnson & Johnson,1.40%,SPX
UNH,UnitedHealth Group Incorporated,1.38%,SPX
XOM,Exxon Mobil Corporation,1.29%,SPX
NVDA,NVIDIA Corporation,1.25%,SPX
META,Meta Platforms Inc. Class A,1.20%,SPX
JPM,JPMorgan Chase & Co.,1.07%,SPX
PG,Procter & Gamble Company,1.02%,SPX
CVX,Chevron Corporation,1.02%,SPX
V,Visa Inc. Class A,1.02%,SPX
HD,Home Depot Inc.,0.92%,SPX
MA,Mastercard Incorporated Class A,0.88%,SPX
PFE,Pfizer Inc.,0.85%,SPX
ABBV,AbbVie Inc.,0.77%,SPX
KO,Coca-Cola Company,0.73%,SPX
LLY,Eli Lilly and Company,0.73%,SPX
BAC,Bank of America Corp,0.71%,SPX
PEP,PepsiCo Inc.,0.68%,SPX
MRK,Merck & Co. Inc.,0.68%,SPX
AVGO,Broadcom Inc.,0.68%,SPX
VZ,Verizon Communications Inc.,0.65%,SPX
TMO,Thermo Fisher Scientific Inc.,0.64%,SPX
COST,Costco Wholesale Corporation,0.63%,SPX
ABT,Abbott Laboratories,0.58%,SPX
CSCO,Cisco Systems Inc.,0.57%,SPX
CMCSA,Comcast Corporation Class A,0.57%,SPX
MCD,McDonald's Corporation,0.57%,SPX
ADBE,Adobe Incorporated,0.55%,SPX
ACN,Accenture Plc Class A,0.55%,SPX
DIS,Walt Disney Company,0.54%,SPX
WMT,Walmart Inc.,0.54%,SPX
CRM,Salesforce Inc.,0.51%,SPX
BMY,Bristol-Myers Squibb Company,0.50%,SPX
DHR,Danaher Corporation,0.49%,SPX
LIN,Linde plc,0.49%,SPX
INTC,Intel Corporation,0.49%,SPX
PM,Philip Morris International Inc.,0.48%,SPX
WFC,Wells Fargo & Company,0.47%,SPX
COP,ConocoPhillips,0.46%,SPX
QCOM,Qualcomm Incorporated,0.46%,SPX
AMD,Advanced Micro Devices Inc.,0.45%,SPX
NEE,NextEra Energy Inc.,0.45%,SPX
TXN,Texas Instruments Incorporated,0.45%,SPX
T,AT&T Inc.,0.44%,SPX
NKE,NIKE Inc. Class B,0.44%,SPX
RTX,Raytheon Technologies Corporation,0.43%,SPX
AMGN,Amgen Inc.,0.42%,SPX
UNP,Union Pacific Corporation,0.42%,SPX
HON,Honeywell International Inc.,0.40%,SPX
UPS,United Parcel Service Inc. Class B,0.40%,SPX
LOW,Lowe's Companies Inc.,0.39%,SPX
