ExpirationDate,Calls,CallLastSale,CallNet,CallBid,CallAsk,CallVol,CallIV,CallDelta,CallGamma,CallOpenInt,StrikePrice,Puts,PutLastSale,PutNet,PutBid,PutAsk,PutVol,PutIV,PutDelta,PutGamma,PutOpenInt,CallGEX,PutGEX,TotalGamma,daysTillExp,IsThirdFriday,callGammaEx,putGammaEx,
12/13/22 16:00,SPXW221213C03980000,50.6,21.75,50.4,51,1263,0.5917,0.5239,0.0033,312,3980,SPXW221213P03980000,45.04,-20.05,44.7,45.4,688,0.5921,-0.4757,0.0033,105,16395937.18,-5517863.474,0.010878074,0.003816794,FALSE,13531897.35,4550942.526,2864039.831
12/13/22 16:00,SPXW221213C03985000,48.17,20.43,47.8,48.4,1408,0.5907,0.5075,0.0033,129,3985,SPXW221213P03985000,47.4,-20.55,47.1,47.8,710,0.5918,-0.4921,0.0033,57,6779089.411,-2995411.6,0.003783678,0.003816794,FALSE,5618563.181,2478011.583,1160526.23
12/13/22 16:00,SPXW221213C03990000,45.59,20.06,45.3,45.9,2234,0.5899,0.491,0.0033,3160,3990,SPXW221213P03990000,49.85,-20.75,49.6,50.2,720,0.5916,-0.5086,0.0033,290,166061415,-15239813.41,0.150821602,0.003816794,FALSE,138005835.3,12628686.97,28055579.74
12/13/22 16:00,SPXW221213C03995000,42.68,19.45,42.9,43.4,1022,0.5893,0.4745,0.0033,237,3995,SPXW221213P03995000,52.36,-22.29,52.2,52.8,201,0.591,-0.5251,0.0033,43,12454606.13,-2259696.47,0.01019491,0.003816794,FALSE,10362711.53,1874749.414,2091894.596
12/13/22 16:00,SPXW221213C04000000,41,19.05,40.5,41,5505,0.589,0.458,0.0033,2029,4000,SPXW221213P04000000,55,-22.05,54.8,55.4,637,0.5894,-0.5416,0.0033,194,106626142.8,-10194909.66,0.096431233,0.003816794,FALSE,88672099.04,8472527.358,17954043.72
12/13/22 16:00,SPXW221213C04005000,38.6,18.75,38.2,38.8,553,0.5876,0.4415,0.0033,81,4005,SPXW221213P04005000,57.7,-23.6,57.5,58.2,119,0.5874,-0.5581,0.0033,50,4256637.537,-2627554.035,0.001629084,0.003816794,FALSE,3540469.537,2186212.015,716168.0007
12/14/22 16:00,SPXW221214C03980000,62.88,23.9,62.9,63.6,442,0.5214,0.5215,0.0026,189,3980,SPXW221214P03980000,57.53,-18.02,57.4,58,163,0.5206,-0.4781,0.0026,261,7825333.655,-10806413.14,-0.002981079,0.007633588,FALSE,6583360.07,9105237.136,1241973.584
12/14/22 16:00,SPXW221214C03985000,60,22.85,60.4,61,199,0.5201,0.5084,0.0026,100,3985,SPXW221214P03985000,59.98,-18.47,59.8,60.4,131,0.5206,-0.4912,0.0026,49,4140388.177,-2028790.207,0.002111598,0.007633588,FALSE,3498431.85,1712585.904,641956.3273
12/14/22 16:00,SPXW221214C03990000,58.3,22.82,57.8,58.4,290,0.5191,0.4953,0.0026,134,3990,SPXW221214P03990000,62.87,-17.87,62.2,62.8,99,0.52,-0.5043,0.0026,161,5548120.157,-6666024.965,-0.001117905,0.007633588,FALSE,4702070.235,5639719.374,846049.9219
12/14/22 16:00,SPXW221214C03995000,55.27,22.62,55.3,55.9,325,0.518,0.4822,0.0026,232,3995,SPXW221214P03995000,64.2,-20.15,64.7,65.4,52,0.5189,-0.5175,0.0026,67,9605700.571,-2774060.079,0.00683164,0.007633588,FALSE,8160879.713,2352718.411,1444820.858
12/14/22 16:00,SPXW221214C04000000,53.21,22.46,52.8,53.4,872,0.5167,0.469,0.0026,1212,4000,SPXW221214P04000000,67.26,-20.19,67.3,68,566,0.5176,-0.5307,0.0026,1449,50181504.71,-59994224.69,-0.00981272,0.007633588,FALSE,42721976.16,50987412.6,7459528.542
12/14/22 16:00,SPXW221214C04005000,50.81,21.91,50.4,51.1,222,0.5157,0.4558,0.0026,266,4005,SPXW221214P04005000,68.8,-21.8,69.8,70.6,58,0.5158,-0.5439,0.0026,31,11013432.55,-1283520.335,0.009729912,0.007633588,FALSE,9383021.693,1093299.299,1630410.858
