name,size
XLV.A,243
XLV.A,289402
XLV.A,17648
XLI.AAL,51156
XLI.AAL,10230532
XLI.AAL,3299142
XLY.AAP,1007
XLY.AAP,166711
XLY.AAP,3775
XLK.AAPL,123101
XLK.AAPL,22195047
XLK.AAPL,6495441
XLV.ABBV,22613
XLV.ABBV,2760592
XLV.ABBV,380334
XLV.ABC,505
XLV.ABC,208736
XLV.ABC,10792
XRT.ABG,931
XRT.ABG,91552
XRT.ABG,3322
XLV.ABMD,115
XLV.ABMD,47300
XLV.ABMD,294
XLV.ABT,1594
XLV.ABT,996617
XLV.ABT,51841
XBI.ACAD,200
XBI.ACAD,408230
XBI.ACAD,18285
XRT.ACI,331
XRT.ACI,617927
XRT.ACI,6003
XLK.ACN,1727
XLK.ACN,414911
XLK.ACN,9451
XLK.ADBE,2668
XLK.ADBE,497627
XLK.ADBE,34893
XLK.ADI,1367
XLK.ADI,601103
XLK.ADI,9028
XLP.ADM,6277
XLP.ADM,940840
XLP.ADM,34375
XLK.ADP,610
XLK.ADP,289925
XLK.ADP,7428
XLK.ADSK,555
XLK.ADSK,334526
XLK.ADSK,16990
XLU.AEE,9
XLU.AEE,170106
XLU.AEE,2913
XRT.AEO,10344
XRT.AEO,992084
XRT.AEO,76954
XLU.AEP,2651
XLU.AEP,434153
XLU.AEP,13577
XLU.AES,2101
XLU.AES,1187938
XLU.AES,12809
XLF.AFL,326
XLF.AFL,485103
XLF.AFL,17239
XBI.AGEN,2273
XBI.AGEN,928118
XBI.AGEN,232138
XBI.AGIO,93647
XBI.AGIO,371
XLF.AIG,1172
XLF.AIG,1065392
XLF.AIG,22916
XLF.AIZ,58
XLF.AIZ,100001
XLF.AIZ,1205
XLF.AJG,642
XLF.AJG,282052
XLF.AJG,3610
XLK.AKAM,547
XLK.AKAM,222118
XLK.AKAM,10041
XBI.AKBA,1226938
XBI.AKBA,189450
XBI.AKRO,1461
XBI.AKRO,391028
XBI.AKRO,1858
XLB.ALB,3468
XLB.ALB,272334
XLB.ALB,23926
XBI.ALBO,51745
XBI.ALBO,3024
XBI.ALDX,9317
XBI.ALDX,306102
XBI.ALDX,29731
XBI.ALEC,84229
XBI.ALEC,3355
XLV.ALGN,1236
XLV.ALGN,251197
XLV.ALGN,13627
XLI.ALK,495873
XLI.ALK,28035
XBI.ALKS,2514
XBI.ALKS,524302
XBI.ALKS,7784
XLF.ALL,14
XLF.ALL,433118
XLF.ALL,12373
XLI.ALLE,262
XLI.ALLE,416246
XLI.ALLE,14931
XBI.ALLK,3766
XBI.ALLK,167468
XBI.ALLK,46412
XBI.ALLO,356829
XBI.ALLO,19265
XBI.ALNY,10
XBI.ALNY,151771
